,Date,open,high,low,close,Adj Close,volume,kmid2,kup2,klow,klow2,ksft2,roc_5,roc_10,roc_20,roc_30,roc_60,ma_5,ma_10,ma_20,ma_30,ma_60,std_5,std_10,std_20,std_30,std_60,beta_5,beta_10,beta_20,beta_30,beta_60,max_5,max_10,max_20,max_30,max_60,min_5,min_10,min_20,min_30,min_60,qtlu_5,qtlu_10,qtlu_20,qtlu_30,qtlu_60,qtld_5,qtld_10,qtld_20,qtld_30,qtld_60,rank_5,rank_10,rank_20,rank_30,rank_60,imax_5,imax_10,imax_20,imax_30,imax_60,imin_5,imin_10,imin_20,imin_30,imin_60,imxd_5,imxd_10,imxd_20,imxd_30,imxd_60,cntp_5,cntp_10,cntp_20,cntp_30,cntp_60,cntn_5,cntn_10,cntn_20,cntn_30,cntn_60,cntd_5,cntd_10,cntd_20,cntd_30,cntd_60,sump_5,sump_10,sump_20,sump_30,sump_60,sumn_5,sumn_10,sumn_20,sumn_30,sumn_60,sumd_5,sumd_10,sumd_20,sumd_30,sumd_60,weekday,day,month,ret1,mov1
0,2008-06-13,34.01717758178711,34.32251739501953,33.32061004638672,33.902671813964844,20.05545425415039,20006215,-0.11428778117897244,0.30475853246188794,0.01711081897311088,0.5809536863581414,0.161907372717281,1.055164614281236,1.0965381031219317,1.125809152796628,1.0962566929158666,1.2099634065464948,1.013453410689447,1.0444976034562259,1.0736419904084242,1.0843700128264244,1.113720795392839,0.018805164373695962,0.03628115587314591,0.04032920529906176,0.03664487602623141,0.06003060533452027,0.011032922856247206,0.009653810312193175,0.006290457639831403,0.0032085564305288855,0.0034993901091082465,1.0410920786346305,1.094568006641326,1.126372085727833,1.126372085727833,1.2603433722101742,0.9963411047257786,0.9963411047257786,0.9963411047257786,0.9963411047257786,0.9963411047257786,1.0275823183925255,1.0753166455543377,1.0990712225490027,1.1094849754404614,1.1513650476597046,0.9992682209451558,1.0045031934038617,1.0377146385741043,1.0704756698879376,1.0776808063386947,0.08,0.02,0.005,0.0022222222222222222,0.0005555555555555556,0.0,0.0,0.1,0.4,0.08333333333333333,0.8,0.9,0.95,0.9666666666666667,0.9833333333333333,-0.8,-0.9,-0.85,-0.5666666666666667,-0.9,0.2,0.3,0.35,0.43333333333333335,0.55,0.8,0.7,0.6,0.5333333333333333,0.43333333333333335,-0.6000000000000001,-0.39999999999999997,-0.25,-0.09999999999999998,0.1166666666666667,0.060596946587514085,0.18774238009997507,0.19244671738160957,0.3349390891982528,0.4150416160375445,0.9394030534124859,0.8122576199000249,0.8075532826183904,0.6650609108017471,0.5849583839624555,-0.8788061068249718,-0.6245152398000499,-0.6151065652367809,-0.33012182160349435,-0.16991676792491095,4,13,6,-0.014635468577810617,0
1,2008-06-16,33.74045944213867,33.96946716308594,32.91030502319336,33.406490325927734,19.76192283630371,26747266,-0.31531443924581165,0.21621592419294342,0.014705943870897208,0.4684696365603007,-0.06306072687845428,1.0565552599422356,1.0902598982724263,1.14253062384104,1.1245358306904938,1.2385032346116294,1.0171950271036394,1.0509853766755572,1.0824620993818765,1.0963248003106585,1.1262876660046295,0.014517310329046292,0.039543421792214165,0.04354958843040874,0.04115049980654327,0.06151806646284913,0.01131105198844714,0.009025989827242632,0.007126531192052,0.00415119435634979,0.0039750539101938214,1.0394172366380503,1.1108254577232668,1.1431019179289168,1.1431019179289168,1.2790630594254335,1.0,1.0,1.0,1.0,1.0,1.0243358035360397,1.091288159116423,1.1132247101878647,1.1213938159784436,1.1654954814325995,1.008911685333546,1.0141101988955286,1.0356468783625477,1.0679805022340763,1.0902598982724263,0.04,0.01,0.0025,0.0011111111111111111,0.0002777777777777778,0.0,0.2,0.05,0.36666666666666664,0.06666666666666667,0.8,0.9,0.95,0.9666666666666667,0.9833333333333333,-0.8,-0.7,-0.9,-0.6,-0.9166666666666666,0.2,0.3,0.35,0.4,0.5333333333333333,0.8,0.7,0.65,0.5666666666666667,0.45,-0.6000000000000001,-0.39999999999999997,-0.30000000000000004,-0.16666666666666663,0.08333333333333331,0.059325656803413174,0.19533458433055403,0.17867418672983043,0.29113489208961985,0.4036799951244737,0.9406743431965868,0.8046654156694459,0.8213258132701695,0.7088651079103802,0.5963200048755263,-0.8813486863931737,-0.6093308313388919,-0.6426516265403391,-0.4177302158207603,-0.19264000975105255,0,16,6,-0.009425952783908231,0
2,2008-06-17,33.511451721191406,33.788169860839844,33.053436279296875,33.09160232543945,19.575647354125977,15808451,-0.5714307965476164,0.37662378119010453,0.0011388956366352617,0.051945422260918056,-0.8961091554768029,1.049307963962136,1.105824653463235,1.1539792720609723,1.1239907939869265,1.275951567564078,1.017012702937774,1.050403716988299,1.0850634628142666,1.1026240134458973,1.1324058288610699,0.012163802071785293,0.04073107525548147,0.046109539045998155,0.045725635357801435,0.061856662535273665,0.00986159279242723,0.010582465346323502,0.007698963603048612,0.004133026466230882,0.004599192792734635,1.030276785595921,1.1213956804593554,1.1459053934025878,1.1539792720609723,1.2912341717614255,1.0,1.0,1.0,1.0,1.0,1.0256632196952886,1.084948099458602,1.1224913873747588,1.1320646034791721,1.1745098109285956,1.0076125174572452,1.0185121326053213,1.029123394120763,1.0631488461070704,1.0998847115743193,0.04,0.01,0.0025,0.0011111111111111111,0.0002777777777777778,0.0,0.1,0.0,0.3333333333333333,0.05,0.6,0.8,0.9,0.9333333333333333,0.9666666666666667,-0.6,-0.7,-0.9,-0.6,-0.9166666666666666,0.2,0.2,0.3,0.4,0.5166666666666667,0.8,0.8,0.7,0.5666666666666667,0.4666666666666667,-0.6000000000000001,-0.6000000000000001,-0.39999999999999997,-0.16666666666666663,0.050000000000000044,0.06664058659523539,0.15625701765301034,0.16885901816264948,0.29164290762809325,0.3870814890700471,0.9333594134047646,0.8437429823469896,0.8311409818373505,0.7083570923719067,0.6129185109299529,-0.8667188268095292,-0.6874859646939793,-0.662281963674701,-0.4167141847438135,-0.22583702185990584,1,17,6,0.0051903423320400766,1
3,2008-06-18,33.09160232543945,33.70228958129883,33.0629768371582,33.26335906982422,19.677255630493164,16413776,0.2686584085154994,0.6865661845423411,0.000865037842523688,0.04477540694059539,-0.3731323690862463,1.0249569083659125,1.0949512545600295,1.1399884630249122,1.1141709834755196,1.2814113642645066,1.0067699336795954,1.0354847880510885,1.0724612691360687,1.0931248688328503,1.1218684146445421,0.01031226951086472,0.03858881609691599,0.0468200145985697,0.0486626045101873,0.06024541340771352,0.004991381673182496,0.009495125456002954,0.006999423151245615,0.0038056994491839826,0.004690189404408443,1.0192197289154898,1.1156053070085403,1.122489991158044,1.148020651873497,1.2845668301644881,0.994836458217457,0.994836458217457,0.994836458217457,0.994836458217457,0.994836458217457,1.0162363543158723,1.0639701873554295,1.1157774212452365,1.1262191405985695,1.1586919180393107,0.9989672916434914,1.0034423764792502,1.0184738852655855,1.0401032364311527,1.0907056706640872,0.08,0.02,0.005,0.0022222222222222222,0.0005555555555555556,0.0,0.0,0.0,0.3,0.03333333333333333,0.4,0.7,0.85,0.9,0.95,-0.4,-0.7,-0.85,-0.6,-0.9166666666666666,0.4,0.3,0.35,0.43333333333333335,0.5166666666666667,0.6,0.7,0.65,0.5333333333333333,0.4666666666666667,-0.19999999999999996,-0.39999999999999997,-0.30000000000000004,-0.09999999999999998,0.050000000000000044,0.2102152649569354,0.19158621000313172,0.19482642036222775,0.3087132924925954,0.384342067161698,0.7897847350430646,0.8084137899968683,0.8051735796377723,0.6912867075074046,0.6156579328383021,-0.5795694700861291,-0.6168275799937366,-0.6103471592755445,-0.38257341501480924,-0.231315865676604,2,18,6,0.02122780479805142,1
4,2008-06-19,33.225189208984375,34.417938232421875,33.1870231628418,33.96946716308594,20.09496116638184,28315178,0.6046541897930174,0.3643395717696163,0.001148708165437857,0.031006238436553802,0.2713208564599549,0.9943819644303379,1.0924157193596509,1.0991572946645507,1.0957864508631885,1.2556179232718379,0.9869662652842954,1.0047190577943,1.0452106325377108,1.067209690284097,1.0942883398623287,0.011500755390078493,0.025897523388519826,0.04563124432078388,0.049079272395877636,0.05664087918369417,-0.0011236071139324318,0.009241571935965085,0.004957864733227534,0.0031928816954396155,0.004260298721197296,1.0,1.0530898072654895,1.0963482768797197,1.1241572609752033,1.2578651150401376,0.9741572385156384,0.9741572385156384,0.9741572385156384,0.9741572385156384,0.9741572385156384,0.9984269320728426,1.0255617474080538,1.0890448980178535,1.1028089279465714,1.1257864778146665,0.9782022061581432,0.9825842694105668,0.9973033249589103,1.0029212706903126,1.0634268669401046,0.2,0.06,0.015,0.006666666666666667,0.0016666666666666668,0.8,0.0,0.2,0.26666666666666666,0.016666666666666666,0.2,0.6,0.8,0.8666666666666667,0.9333333333333333,0.6,-0.6,-0.6,-0.6,-0.9166666666666666,0.6,0.3,0.4,0.43333333333333335,0.5166666666666667,0.4,0.7,0.6,0.5333333333333333,0.4666666666666667,0.19999999999999996,-0.39999999999999997,-0.19999999999999996,-0.09999999999999998,0.050000000000000044,0.5556680159889926,0.20458413582386129,0.287159088977551,0.3483902206270331,0.3972177246134156,0.4443319840110074,0.7954158641761387,0.712840911022449,0.6516097793729669,0.6027822753865844,0.11133603197798525,-0.5908317283522775,-0.425681822044898,-0.30321955874593376,-0.20556455077316882,3,19,6,-0.013202293750446348,0
5,2008-06-20,33.77862548828125,34.18893051147461,33.39694595336914,33.520992279052734,19.82966041564941,21629567,-0.32530079859698635,0.5180719989974867,0.0036723319522468105,0.15662720240426437,-0.6867455951902086,1.0113862839063574,1.0671790181473844,1.1110162396369228,1.1127241537728139,1.274693999665655,0.9978935573923674,1.0114432181708954,1.053643616540047,1.077730338247342,1.1043505095463046,0.009894870980023436,0.02020588422136307,0.04635669726679328,0.051520712255482284,0.05485135409890596,0.0022772567812714833,0.00671790181473843,0.00555081198184614,0.0037574717924271322,0.004578233327760918,1.0133789262650632,1.0529462486146242,1.1090235972782168,1.139197278080126,1.2670082722538947,0.9871904163803168,0.9871904163803168,0.9871904163803168,0.9871904163803168,0.9871904163803168,1.0026757852530126,1.020836848338522,1.1009393641547653,1.117563327278022,1.1387418039638222,0.9912895013466553,0.9957301919002218,1.006148581929408,1.012980397793322,1.065186421308778,0.16,0.04,0.01,0.0044444444444444444,0.0011111111111111111,0.6,0.0,0.15,0.23333333333333334,0.0,0.0,0.5,0.75,0.8333333333333334,0.9166666666666666,0.6,-0.5,-0.6,-0.6,-0.9166666666666666,0.4,0.3,0.4,0.4,0.5,0.6,0.7,0.6,0.5666666666666667,0.48333333333333334,-0.19999999999999996,-0.39999999999999997,-0.19999999999999996,-0.16666666666666663,0.016666666666666663,0.4148457064458558,0.24210976005329413,0.2737586864199203,0.32891203158482607,0.3908586259396912,0.5851542935541443,0.7578902399467059,0.7262413135800797,0.6710879684151739,0.6091413740603089,-0.17030858710828845,-0.5157804798934118,-0.4524826271601594,-0.34217593683034786,-0.21828274812061765,4,20,6,0.01992596838606331,1
6,2008-06-23,33.59732818603516,34.34160232543945,33.511451721191406,34.18893051147461,20.224781036376957,19792947,0.7126445760701562,0.1839085741592039,0.0025560504206835095,0.10344684976943533,0.6321828516803877,0.97711422457967,1.0323751735440294,1.08121687628446,1.0881942305111016,1.242255135692658,0.9829751842777339,0.9884454572162016,1.0289980734004633,1.0537352566376301,1.0787375802280255,0.013571349958827437,0.014301631262737112,0.044540956793277436,0.05117855371449968,0.05060366293255398,-0.004577155084065994,0.0032375173544029333,0.0040608438142230065,0.0029398076837033912,0.004037585594877635,1.0,1.0156293671923318,1.0873569569300623,1.1169411441526471,1.164108299730999,0.967903992034297,0.967903992034297,0.967903992034297,0.967903992034297,0.967903992034297,0.9948646922824329,0.9977672109428445,1.0780910474767817,1.0957298489482141,1.1163829245729644,0.971922994484862,0.9762769286832368,0.9864917779488872,0.9931901228049602,1.0363382759327473,0.2,0.09,0.0225,0.01,0.0025,0.4,0.0,0.1,0.2,0.18333333333333332,0.0,0.4,0.7,0.8,0.9,0.4,-0.4,-0.6,-0.6,-0.7166666666666667,0.6,0.4,0.45,0.43333333333333335,0.5166666666666667,0.4,0.6,0.55,0.5333333333333333,0.4666666666666667,0.19999999999999996,-0.19999999999999996,-0.10000000000000003,-0.09999999999999998,0.050000000000000044,0.671922986797878,0.38217367894117105,0.342345777693178,0.3730381761078451,0.40523487909799516,0.328077013202122,0.617826321058829,0.657654222306822,0.6269618238921548,0.5947651209020048,0.34384597359575597,-0.2356526421176579,-0.31530844461364405,-0.25392364778430976,-0.18953024180400968,0,23,6,0.033491501126425405,1
7,2008-06-24,34.13167953491211,35.4484748840332,33.99809265136719,35.33396911621094,20.902145385742188,26481912,0.8289467108873874,0.07894868348718548,0.003913867860158493,0.09210460562473759,0.8421026330249395,0.9365379308677013,0.9827167094120995,1.0429382155397606,1.0699433031027614,1.0248446762395134,0.9638131373218802,0.9581420548986956,0.9935052762791566,1.0172562894949015,1.0433657490397572,0.02269796180305269,0.01795519027439329,0.04166365078195883,0.04870734571029454,0.049230961835027745,-0.012692413826459732,-0.0017283290587900488,0.0021469107769880296,0.0023314434367587115,0.0004140779373252232,1.0,1.0,1.0521198826936922,1.0807453597201993,1.1263840084434285,0.9413988833358452,0.9365379308677013,0.9365379308677013,0.9365379308677013,0.9365379308677013,0.9740750641181493,0.9654333972319616,1.0373210597297429,1.0569268545680754,1.0802052298990306,0.9472319831131428,0.9446395327094329,0.9545233578347649,0.9610046349897027,1.0015123203147975,0.2,0.1,0.03,0.013333333333333334,0.0033333333333333335,0.8,0.9,0.05,0.16666666666666666,0.16666666666666666,0.0,0.3,0.65,0.7666666666666667,0.8833333333333333,0.8,0.6,-0.6,-0.6,-0.7166666666666667,0.8,0.5,0.5,0.43333333333333335,0.5333333333333333,0.2,0.5,0.5,0.5333333333333333,0.45,0.6000000000000001,0.0,0.0,-0.09999999999999998,0.08333333333333331,0.8580976969975671,0.563692734038081,0.4275226361112905,0.4050535085339533,0.49428973361731393,0.1419023030024329,0.43630726596191904,0.5724773638887095,0.5949464914660467,0.505710266382686,0.7161953939951342,0.1273854680761619,-0.14495472777741902,-0.18989298293209345,-0.011420532765372138,1,24,6,-0.0013502705723281716,0
8,2008-06-25,35.066795349121094,35.49618148803711,34.66603088378906,35.286258697509766,20.87391662597656,23204292,0.2643657033619799,0.25287314067215505,0.01142860250964096,0.48276115596466046,0.4942537186544853,0.9426717452528254,0.9661979176182349,1.0454299805590894,1.059221211143989,1.036235790800102,0.9765819564174626,0.9628177634336392,0.9925770920276266,1.016657677556193,1.04417255012866,0.023033532743596263,0.02209751768238888,0.04002331570786336,0.048269595886847316,0.04962480053863526,-0.011465650949434929,-0.003380208238176509,0.002271499027954468,0.0019740403714662968,0.0006039298466683698,1.00135209626813,1.00135209626813,1.0535424500607076,1.0822066314878755,1.1279069880577262,0.9499729786149981,0.9378042203089897,0.9378042203089897,0.9378042203089897,0.9378042203089897,1.000270419253626,0.9751216881235959,1.0331530934702087,1.0559762449647738,1.0816657713591915,0.9601406733627522,0.9459167762963374,0.9558139653047362,0.9623040057703278,1.0011357738380886,0.16,0.09,0.027500000000000004,0.012222222222222221,0.0030555555555555553,0.8,0.9,0.0,0.13333333333333333,0.15,0.0,0.2,0.6,0.7333333333333333,0.8666666666666667,0.8,0.7,-0.6,-0.6,-0.7166666666666667,0.6,0.5,0.45,0.43333333333333335,0.5166666666666667,0.4,0.5,0.55,0.5333333333333333,0.4666666666666667,0.19999999999999996,0.0,-0.10000000000000003,-0.09999999999999998,0.050000000000000044,0.8368507068491219,0.6357287342244874,0.42321027248998844,0.4173582485748155,0.4879709989470349,0.16314929315087812,0.3642712657755126,0.5767897275100116,0.5826417514251845,0.5120290010529651,0.6737014136982438,0.2714574684489748,-0.15357945502002313,-0.16528350285036897,-0.024058002105930232,2,25,6,-0.021092463947072426,0
9,2008-06-26,35.114505767822266,35.4484748840332,34.46564865112305,34.54198455810547,20.43364143371582,16760350,-0.5825253646526859,0.3398048454829217,0.0021739137519735077,0.07766978986337492,-0.8446604202722328,0.9834254631763714,0.9779005439441351,1.0751381505899409,1.1002762680489198,1.0248619156719831,1.0009392185996338,0.9857734875881478,1.0102071855755743,1.0352209993461419,1.0662569102904105,0.02215686172334466,0.02303470023631936,0.03834168115335699,0.04837188463441918,0.05114123503181093,-0.00331490736472573,-0.0022099456055864985,0.0037569075294970476,0.0033425422682973284,0.0004143652611997193,1.0229281718533925,1.0229281718533925,1.0762430681744641,1.1055248750576203,1.1522099345619325,0.9704419913298481,0.9580110334938565,0.9580110334938565,0.9580110334938565,0.9580110334938565,1.0218231880069453,1.0043093884090668,1.054419924342135,1.0766298169381823,1.1049723610470887,0.9859115884816456,0.966298390254903,0.9764088334212776,0.9830387144126532,1.021767991824162,0.12,0.08,0.025,0.01111111111111111,0.0027777777777777775,0.6,0.8,0.0,0.1,0.13333333333333333,0.0,0.1,0.55,0.7,0.85,0.6,0.7,-0.55,-0.6,-0.7166666666666667,0.4,0.5,0.4,0.4,0.5166666666666667,0.6,0.5,0.6,0.5666666666666667,0.4666666666666667,-0.19999999999999996,0.0,-0.19999999999999996,-0.16666666666666663,0.050000000000000044,0.5997751112082954,0.5830974373277392,0.3783915218741697,0.3615549003764377,0.4939618239490485,0.4002248887917046,0.4169025626722608,0.6216084781258303,0.6384450996235622,0.5060381760509516,0.19955022241659082,0.16619487465547844,-0.24321695625166062,-0.27689019924712455,-0.012076352101903054,3,26,6,0.02154694204533336,1
