Date,open,high,low,close,adj_close,volume,dividend,split
2002-07-26,81.28,81.37,81.24,81.31,54.3404967848976,246200,0.0000,1.0
2002-07-29,81.22,81.22,81.04,81.04,54.1600523852921,40200,0.0000,1.0
2002-07-30,81.12,81.13,81.0,81.01,54.1400030075581,95300,0.0000,1.0
2002-07-31,81.17,81.31,81.15,81.26,54.307081155341,38800,0.0000,1.0
2002-08-01,81.33,81.45,81.33,81.42,54.414011169922,86800,0.0000,1.0
2002-08-02,81.46,81.64,81.4,81.58,54.5209411845031,83400,0.0000,1.0
2002-08-05,81.63,81.73,81.57,81.71,54.6078218213502,93100,0.0000,1.0
2002-08-06,81.55,81.61,81.45,81.51,54.4741593031239,58200,0.0000,1.0
2002-08-07,81.59,81.69,81.54,81.63,54.5543568140596,127000,0.0000,1.0
2002-08-08,81.61,81.62,81.47,81.51,54.4741593031239,111800,0.0000,1.0
2002-08-09,81.48,81.56,81.46,81.53,54.4875255549465,50900,0.0000,1.0
2002-08-12,81.51,81.57,81.47,81.52,54.4808424290352,52300,0.0000,1.0
2002-08-13,81.59,81.68,81.48,81.66,54.5744061917936,36200,0.0000,1.0
2002-08-14,81.69,81.71,81.46,81.48,54.4541099253899,108700,0.0000,1.0
2002-08-15,81.38,81.54,81.3,81.41,54.4073280440107,87700,0.0000,1.0
2002-08-16,81.54,81.55,81.31,81.36,54.3739124144541,274500,0.0000,1.0
2002-08-19,81.41,81.43,81.31,81.37,54.3805955403655,36000,0.0000,1.0
2002-08-20,81.51,81.57,81.46,81.56,54.5075749326804,51400,0.0000,1.0
2002-08-21,81.46,81.54,81.42,81.49,54.4607930513012,43100,0.0000,1.0
2002-08-22,81.5,81.5,81.38,81.4,54.4006449180994,47700,0.0000,1.0
2002-08-23,81.48,81.52,81.44,81.5,54.4674761772125,60900,0.0000,1.0
2002-08-26,81.49,81.55,81.45,81.49,54.4607930513012,49700,0.0000,1.0
2002-08-27,81.4,81.45,81.35,81.43,54.4206942958333,54700,0.0000,1.0
2002-08-28,81.51,81.53,81.46,81.49,54.4607930513012,50600,0.0000,1.0
2002-08-29,81.64,81.64,81.55,81.58,54.5209411845031,53700,0.0000,1.0
2002-08-30,81.63,81.63,81.52,81.61,54.540990562237,143800,0.0000,1.0
2002-09-03,81.62,81.78,81.61,81.67,54.6697075672889,83000,0.1326,1.0
2002-09-04,81.67,81.73,81.6,81.64,54.6496256372409,49500,0.0000,1.0
2002-09-05,81.69,81.73,81.64,81.73,54.7098714273849,49000,0.0000,1.0
2002-09-06,81.55,81.61,81.53,81.57,54.6027678004623,33700,0.0000,1.0
2002-09-09,81.52,81.57,81.45,81.46,54.529134056953,65200,0.0000,1.0
2002-09-10,81.44,81.54,81.42,81.51,54.5626039403664,51000,0.0000,1.0
2002-09-11,81.4,81.46,81.36,81.46,54.529134056953,24700,0.0000,1.0
2002-09-12,81.48,81.55,81.46,81.52,54.569297917049,50100,0.0000,1.0
2002-09-13,81.55,81.59,81.52,81.58,54.609461777145,95100,0.0000,1.0
2002-09-16,81.61,81.61,81.54,81.55,54.589379847097,39000,0.0000,1.0
2002-09-17,81.52,81.62,81.48,81.61,54.629543707193,28800,0.0000,1.0
2002-09-18,81.7,81.7,81.6,81.6,54.6228497305103,173700,0.0000,1.0
2002-09-19,81.76,81.77,81.66,81.77,54.7366473341155,191100,0.0000,1.0
2002-09-20,81.74,81.79,81.7,81.78,54.7433413107982,360800,0.0000,1.0
2002-09-23,81.82,81.85,81.75,81.8,54.7567292641635,263600,0.0000,1.0
2002-09-24,81.87,81.94,81.78,81.84,54.7835051708942,659400,0.0000,1.0
2002-09-25,81.79,81.83,81.7,81.76,54.7299533574329,240400,0.0000,1.0
2002-09-26,81.76,81.82,81.69,81.79,54.7500352874808,81100,0.0000,1.0
2002-09-27,81.85,81.96,81.81,81.96,54.8638328910861,136200,0.0000,1.0
2002-09-30,82.03,82.13,82.0,82.08,54.944160611278,216900,0.0000,1.0
2002-10-01,81.91,82.0,81.84,81.86,54.8770869649177,94100,0.1198,1.0
2002-10-02,81.89,81.95,81.83,81.93,54.9240133769327,79400,0.0000,1.0
2002-10-03,81.9,81.97,81.8,81.94,54.9307171500777,196500,0.0000,1.0
2002-10-04,81.77,81.93,81.76,81.87,54.8837907380627,205600,0.0000,1.0
2002-10-07,81.97,81.97,81.88,81.97,54.9508284695127,171600,0.0000,1.0
2002-10-08,81.85,82.0,81.85,81.89,54.8971982843527,167100,0.0000,1.0
2002-10-09,81.99,82.06,81.92,82.06,55.0111624278176,332800,0.0000,1.0
2002-10-10,82.03,82.08,81.93,81.98,54.9575322426577,166200,0.0000,1.0
2002-10-11,81.95,81.95,81.8,81.85,54.8703831917727,407000,0.0000,1.0
2002-10-14,81.82,81.88,81.82,81.87,54.8837907380627,54500,0.0000,1.0
2002-10-15,81.67,81.7,81.54,81.56,54.6759737705679,100800,0.0000,1.0
2002-10-16,81.65,81.67,81.55,81.59,54.6960850900029,51300,0.0000,1.0
2002-10-17,81.52,81.57,81.48,81.52,54.649158677988,239200,0.0000,1.0
2002-10-18,81.49,81.59,81.41,81.59,54.6960850900029,100600,0.0000,1.0
2002-10-21,81.56,81.57,81.37,81.41,54.575417173393,595800,0.0000,1.0
2002-10-22,81.47,81.48,81.37,81.4,54.568713400248,325800,0.0000,1.0
2002-10-23,81.5,81.58,81.43,81.46,54.608936039118,126700,0.0000,1.0
2002-10-24,81.51,81.64,81.5,81.6,54.7027888631479,69400,0.0000,1.0
2002-10-25,81.71,81.78,81.66,81.74,54.7966416871778,56000,0.0000,1.0
2002-10-28,81.89,81.9,81.83,81.85,54.8703831917727,31100,0.0000,1.0
2002-10-29,81.94,82.09,81.93,82.03,54.9910511083826,25000,0.0000,1.0
2002-10-30,82.01,82.1,81.97,82.02,54.9843473352376,28800,0.0000,1.0
2002-10-31,82.03,82.17,81.99,82.16,55.0782001592676,153700,0.0000,1.0
2002-11-01,81.97,82.02,81.86,81.94,55.0198102951747,50300,0.1329,1.0
2002-11-04,81.85,81.9,81.83,81.86,54.9660931262265,255200,0.0000,1.0
2002-11-05,81.89,81.89,81.78,81.85,54.959378480108,342100,0.0000,1.0
2002-11-06,81.84,81.99,81.8,81.88,54.9795224184635,176100,0.0000,1.0
2002-11-07,81.9,81.92,81.84,81.92,55.0063810029376,39900,0.0000,1.0
2002-11-08,81.86,81.91,81.83,81.89,54.986237064582,27800,0.0000,1.0
2002-11-11,81.87,81.97,81.86,81.97,55.0399542335302,83800,0.0000,1.0
2002-11-12,81.94,82.0,81.93,81.99,55.0533835257673,50300,0.0000,1.0
2002-11-13,81.94,82.04,81.94,82.0,55.0600981718858,46400,0.0000,1.0
2002-11-14,81.94,81.94,81.8,81.8,54.9258052495153,30900,0.0000,1.0
2002-11-15,81.8,81.84,81.75,81.84,54.9526638339894,27500,0.0000,1.0
2002-11-18,81.8,81.86,81.77,81.84,54.9526638339894,27300,0.0000,1.0
2002-11-19,81.85,81.86,81.78,81.82,54.9392345417524,22400,0.0000,1.0
2002-11-20,81.88,81.88,81.7,81.75,54.8922320189227,19400,0.0000,1.0
2002-11-21,81.68,81.72,81.63,81.64,54.818370911619,72500,0.0000,1.0
2002-11-22,81.66,81.68,81.61,81.61,54.7982269732634,43400,0.0000,1.0
2002-11-25,81.62,81.71,81.61,81.66,54.831800203856,49100,0.0000,1.0
2002-11-26,81.72,81.82,81.69,81.81,54.9325198956339,28500,0.0000,1.0
2002-11-27,81.73,81.73,81.61,81.67,54.8385148499746,542100,0.0000,1.0
2002-11-29,81.72,81.72,81.67,81.71,54.8653734344486,69100,0.0000,1.0
2002-12-02,81.5,81.64,81.42,81.62,54.8858531051102,74100,0.1205,1.0
2002-12-03,81.66,81.66,81.58,81.65,54.9060267830464,88900,0.0000,1.0
2002-12-04,81.71,81.75,81.62,81.7,54.9396495796067,220000,0.0000,1.0
2002-12-05,81.67,81.79,81.63,81.77,54.9867214947912,122300,0.0000,1.0
2002-12-06,81.91,81.91,81.78,81.85,55.0405179692877,470600,0.0000,1.0
2002-12-09,81.9,81.92,81.84,81.87,55.0539670879119,83500,0.0000,1.0
2002-12-10,81.9,81.91,81.82,81.86,55.0472425285998,32500,0.0000,1.0
2002-12-11,81.89,81.96,81.88,81.93,55.0943144437843,108700,0.0000,1.0
2002-12-12,81.88,82.0,81.87,81.96,55.1144881217205,41200,0.0000,1.0
2002-12-13,81.92,81.96,81.88,81.9,55.0741407658481,91600,0.0000,1.0
2002-12-16,81.93,81.93,81.83,81.86,55.0472425285998,36500,0.0000,1.0
2002-12-17,81.92,81.94,81.87,81.94,55.1010390030964,47200,0.0000,1.0
2002-12-18,82.03,82.07,81.99,82.07,55.1884582741533,275400,0.0000,1.0
2002-12-19,82.06,82.16,82.04,82.16,55.2489793079619,419200,0.0000,1.0
2002-12-20,82.12,82.15,82.07,82.12,55.2220810707136,46800,0.0000,1.0
2002-12-23,82.11,82.13,82.07,82.13,55.2288056300257,49100,0.0000,1.0
2002-12-24,82.24,82.25,82.2,82.22,55.2893266638343,73300,0.0000,1.0
2002-12-26,82.23,82.28,82.19,82.28,55.3296740197067,24800,0.0000,1.0
2002-12-27,82.35,82.39,82.3,82.38,55.3969196128274,45600,0.0000,1.0
2002-12-30,82.36,82.42,82.34,82.39,55.4036441721395,101400,0.0000,1.0
2002-12-31,82.26,82.32,82.24,82.31,55.4433863176738,207600,0.1391,1.0
2003-01-02,82.16,82.18,81.96,82.0,55.2345726892146,323800,0.0000,1.0
2003-01-03,81.94,82.01,81.91,82.01,55.2413086127133,55100,0.0000,1.0
2003-01-06,81.95,81.98,81.87,81.96,55.2076289952198,133000,0.0000,1.0
2003-01-07,81.94,82.06,81.93,82.02,55.248044536212,99900,0.0000,1.0
2003-01-08,82.1,82.14,82.07,82.09,55.2951960007028,85000,0.0000,1.0
2003-01-09,82.04,82.04,81.91,81.94,55.1941571482225,120500,0.0000,1.0
2003-01-10,82.06,82.06,81.94,82.05,55.268252306708,43700,0.0000,1.0
2003-01-13,82.02,82.06,81.97,82.03,55.2547804597106,71500,0.0000,1.0
2003-01-14,82.1,82.11,82.04,82.06,55.2749882302067,40700,0.0000,1.0
2003-01-15,82.1,82.17,82.09,82.09,55.2951960007028,199300,0.0000,1.0
2003-01-16,82.09,82.14,82.02,82.14,55.3288756181962,31300,0.0000,1.0
2003-01-17,82.21,82.22,82.12,82.12,55.3154037711988,40300,0.0000,1.0
2003-01-21,82.16,82.23,82.13,82.22,55.3827630061857,92800,0.0000,1.0
2003-01-22,82.2,82.28,82.2,82.28,55.4231785471778,48100,0.0000,1.0
2003-01-23,82.2,82.27,82.2,82.23,55.3894989296843,49700,0.0000,1.0
2003-01-24,82.26,82.3,82.22,82.22,55.3827630061857,134500,0.0000,1.0
2003-01-27,82.25,82.27,82.19,82.22,55.3827630061857,333200,0.0000,1.0
2003-01-28,82.23,82.25,82.17,82.24,55.396234853183,1039400,0.0000,1.0
2003-01-29,82.23,82.25,82.17,82.24,55.396234853183,27400,0.0000,1.0
2003-01-30,82.16,82.27,82.15,82.27,55.4164426236791,138300,0.0000,1.0
2003-01-31,82.28,82.28,82.2,82.25,55.4029707766817,136600,0.0000,1.0
2003-02-03,82.09,82.11,82.05,82.08,55.3704362661831,94800,0.1217,1.0
2003-02-04,82.17,82.18,82.12,82.17,55.4311494638434,85700,0.0000,1.0
2003-02-05,82.17,82.2,82.1,82.14,55.4109117312899,27300,0.0000,1.0
2003-02-06,82.2,82.21,82.15,82.18,55.4378953746945,66400,0.0000,1.0
2003-02-07,82.16,82.26,82.12,82.25,55.4851167506525,70100,0.0000,1.0
2003-02-10,82.24,82.25,82.15,82.19,55.4446412855456,60900,0.0000,1.0
2003-02-11,82.13,82.23,82.13,82.22,55.4648790180991,59000,0.0000,1.0
2003-02-12,82.24,82.3,82.23,82.29,55.5121003940571,77900,0.0000,1.0
2003-02-13,82.3,82.38,82.27,82.36,55.5593217700151,63500,0.0000,1.0
2003-02-14,82.29,82.33,82.25,82.29,55.5121003940571,152100,0.0000,1.0
2003-02-18,82.24,82.27,82.19,82.26,55.4918626615036,155900,0.0000,1.0
2003-02-19,82.28,82.33,82.25,82.3,55.5188463049082,76800,0.0000,1.0
2003-02-20,82.28,82.36,82.28,82.35,55.5525758591639,50000,0.0000,1.0
2003-02-21,82.31,82.36,82.27,82.28,55.5053544832059,76400,0.0000,1.0
2003-02-24,82.34,82.35,82.29,82.32,55.5323381266105,103100,0.0000,1.0
2003-02-25,82.38,82.42,82.34,82.37,55.5660676808662,84200,0.0000,1.0
2003-02-26,82.4,82.41,82.36,82.41,55.5930513242708,151800,0.0000,1.0
2003-02-27,82.4,82.41,82.34,82.41,55.5930513242708,57400,0.0000,1.0
2003-02-28,82.37,82.45,82.33,82.45,55.6200349676754,57100,0.0000,1.0
2003-03-03,82.27,82.37,82.27,82.37,55.6385187634075,47900,0.1074,1.0
2003-03-04,82.33,82.41,82.33,82.36,55.6317640567469,51400,0.0000,1.0
2003-03-05,82.44,82.48,82.4,82.43,55.6790470033711,60200,0.0000,1.0
2003-03-06,82.47,82.47,82.38,82.46,55.6993111233529,69100,0.0000,1.0
2003-03-07,82.58,82.58,82.48,82.54,55.7533487766378,149300,0.0000,1.0
2003-03-10,82.55,82.63,82.55,82.62,55.8073864299226,64900,0.0000,1.0
2003-03-11,82.59,82.6,82.53,82.55,55.7601034832984,75400,0.0000,1.0
2003-03-12,82.48,82.54,82.46,82.49,55.7195752433348,59800,0.0000,1.0
2003-03-13,82.36,82.39,82.24,82.24,55.5507075768196,68100,0.0000,1.0
2003-03-14,82.31,82.38,82.29,82.32,55.6047452301045,338700,0.0000,1.0
2003-03-17,82.45,82.45,82.19,82.22,55.5371981634984,133700,0.0000,1.0
2003-03-18,82.22,82.29,82.13,82.15,55.4899152168742,126800,0.0000,1.0
2003-03-19,82.2,82.2,82.12,82.13,55.476405803553,62700,0.0000,1.0
2003-03-20,82.18,82.25,82.12,82.23,55.543952870159,93200,0.0000,1.0
2003-03-21,82.14,82.15,82.02,82.02,55.4021040302863,131400,0.0000,1.0
2003-03-24,82.18,82.23,82.17,82.2,55.5236887501772,54800,0.0000,1.0
2003-03-25,82.27,82.27,82.12,82.2,55.5236887501772,31000,0.0000,1.0
2003-03-26,82.19,82.3,82.19,82.3,55.5912358167833,62600,0.0000,1.0
2003-03-27,82.34,82.37,82.28,82.32,55.6047452301045,47700,0.0000,1.0
2003-03-28,82.42,82.43,82.36,82.43,55.6790470033711,88700,0.0000,1.0
2003-03-31,82.5,82.53,82.45,82.49,55.7195752433348,86900,0.0000,1.0
2003-04-01,82.33,82.4,82.29,82.36,55.7077545066787,41300,0.1125,1.0
2003-04-02,82.28,82.3,82.21,82.27,55.6468791071449,171700,0.0000,1.0
2003-04-03,82.24,82.35,82.24,82.32,55.6806987735526,298000,0.0000,1.0
2003-04-04,82.35,82.38,82.29,82.3,55.6671709069895,71700,0.0000,1.0
2003-04-07,82.17,82.25,82.14,82.25,55.6333512405819,83600,0.0000,1.0
2003-04-08,82.24,82.33,82.24,82.33,55.6874627068341,116800,0.0000,1.0
2003-04-09,82.29,82.38,82.28,82.38,55.7212823732418,164800,0.0000,1.0
2003-04-10,82.33,82.37,82.27,82.27,55.6468791071449,32100,0.0000,1.0
